,titles,authors,regular_prices,release_dates
0,Atomic Habits,James Clear,$16.72,10-16-18
1,Fourth Wing,Rebecca Yarros,$38.49,05-02-23
2,Lessons in Chemistry,Bonnie Garmus,$17.92,04-05-22
3,The Magician's Daughter,H. G. Parry,$36.50,02-28-23
4,Outlive,"Peter Attia MD, Bill Gifford - contributor",$35.00,03-28-23
5,The Covenant of Water,Abraham Verghese,$41.99,05-02-23
6,The Five-Star Weekend,Elin Hilderbrand,$36.50,06-13-23
7,Demon Copperhead,Barbara Kingsolver,$34.90,10-18-22
8,Identity,Nora Roberts,$31.18,05-23-23
9,Wool,Hugh Howey,$36.37,03-07-23
10,The Housemaid,Freida McFadden,$17.35,04-26-22
11,It Ends with Us,Colleen Hoover,$13.49,08-02-16
12,Hábitos atómicos,James Clear,$18.67,09-30-20
13,I'm Glad My Mom Died,Jennette McCurdy,$13.99,08-09-22
14,"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,$29.99,11-20-15
15,Can't Hurt Me,David Goggins,$21.70,11-28-18
16,Verity,Colleen Hoover,$17.35,05-07-19
17,The Subtle Art of Not Giving a F*ck,Mark Manson,$17.92,09-13-16
18,Remarkably Bright Creatures,Shelby Van Pelt,$21.42,05-03-22
19,A Court of Thorns and Roses,Sarah J. Maas,$27.39,05-05-15
20,Greenlights,Matthew McConaughey,$18.49,10-20-20
21,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,$16.72,06-13-17
22,Too Late,Colleen Hoover,$34.95,06-27-23
23,Spare,Prince Harry The Duke of Sussex,$24.95,01-10-23
24,Killers of the Flower Moon,David Grann,$16.72,04-18-17
25,Haunting Adeline,H. D. Carlton,$21.70,08-29-22
26,"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,$29.99,11-20-15
27,True Conviction,James P. Sumner,$19.95,02-16-23
28,How to Talk to Anyone,Leil Lowndes,$14.74,09-01-15
29,The Real Anthony Fauci,Robert F. Kennedy Jr.,$26.05,11-16-21
30,The Mountain Is You,Brianna Wiest,$17.35,04-01-22
31,Fairy Tale,Stephen King,$26.90,09-06-22
32,Never Finished,David Goggins,$21.70,12-06-22
33,Happy Place,Emily Henry,$31.50,04-25-23
34,It Starts with Us,Colleen Hoover,$23.62,10-18-22
35,The Last Thing He Told Me,Laura Dave,$18.49,05-04-21
36,The Body Keeps the Score,Bessel A. van der Kolk,$20.42,02-16-21
37,Project Hail Mary,Andy Weir,$26.05,05-04-21
38,Shift,Hugh Howey,$36.37,03-28-23
39,Hello Beautiful,Ann Napolitano,$31.50,03-14-23
40,"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,$44.99,11-20-15
41,How to Win Friends & Influence People,Dale Carnegie,$16.72,09-16-04
42,A Court of Mist and Fury,Sarah J. Maas,$36.53,05-03-16
43,Playground,Aron Beauregard,$17.35,12-19-22
44,12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD",$23.90,01-23-18
45,The Psychology of Money,Morgan Housel,$17.35,09-08-20
46,The Wager,David Grann,$31.50,04-18-23
47,Dune,Frank Herbert,$34.90,12-31-06
48,"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,$44.99,11-20-15
49,Mad Honey,"Jodi Picoult, Jennifer Finney Boylan",$23.90,10-04-22
50,Only the Dead,Jack Carr,$28.34,05-16-23
51,"Red, White & Royal Blue",Casey McQuiston,$20.90,05-14-19
52,"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,$44.99,11-20-15
53,A Court of Wings and Ruin,Sarah J. Maas,$27.39,05-02-17
54,Unfu*k Yourself,Gary John Bishop,$14.49,08-01-17
55,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,$17.92,07-05-22
56,The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,$47.90,12-27-19
57,The Four Agreements,don Miguel Ruiz,$10.93,01-27-05
58,The Silent Patient,Alex Michaelides,$20.90,02-05-19
59,"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,$44.99,11-20-15
60,A Court of Silver Flames,Sarah J. Maas,$36.53,02-16-21
61,Never Split the Difference,Chris Voss,$23.90,05-17-16
62,A Flicker in the Dark,Stacy Willingham,$15.22,01-11-22
63,Throne of Glass,Sarah J. Maas,$17.64,01-28-21
64,The Creative Act,Rick Rubin,$31.50,01-17-23
65,American Prometheus,"Kai Bird, Martin J. Sherwin",$30.42,03-28-07
66,Extreme Ownership,"Jocko Willink, Leif Babin",$15.22,10-19-15
67,The Nightingale,Kristin Hannah,$25.90,02-03-15
68,The Silmarillion,"J. R. R. Tolkien, Christopher Tolkien",$21.81,06-22-23
69,Yellowface,R. F. Kuang,$31.93,05-16-23
70,Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,$11.30,05-14-19
71,Dust,Hugh Howey,$29.37,04-11-23
72,The Only One Left,Riley Sager,$31.50,06-20-23
73,The Housemaid's Secret,Freida McFadden,$17.35,02-20-23
74,The Terminal List,Jack Carr,$18.49,03-06-18
75,Tell Me Everything,Minka Kelly,$18.89,05-02-23
76,Lady Tan's Circle of Women,Lisa See,$23.62,06-06-23
77,Breaking the Habit of Being Yourself,Joe Dispenza,$21.70,03-26-20
78,The Hitchhiker's Guide to the Galaxy,Douglas Adams,$13.99,04-28-05
79,Think and Grow Rich,Napoleon Hill,$24.95,10-16-07
80,The Alchemist,Paulo Coelho,$17.24,12-26-04
81,Finding Me,Viola Davis,$21.42,04-26-22
82,The Perfect Marriage,Jeneva Rose,$30.44,12-29-20
83,House of Earth and Blood,Sarah J. Maas,$43.45,03-03-20
84,The Power of Now,Eckhart Tolle,$18.24,12-31-00
85,Hunting Adeline,H. D. Carlton,$21.70,10-12-22
86,The Light We Carry,Michelle Obama,$35.00,11-15-22
87,The Last Wish,Andrzej Sapkowski,$17.47,05-05-15
88,The Midnight Library,Matt Haig,$16.72,09-29-20
89,Never Lie,Freida McFadden,$42.62,11-08-22
90,The Boys from Biloxi,John Grisham,$35.00,10-18-22
91,The Ballad of Songbirds and Snakes,Suzanne Collins,$18.26,05-19-20
92,Trust (Pulitzer Prize Winner),Hernan Diaz,$20.85,05-03-22
93,The 7 Habits of Highly Effective People,Stephen R. Covey,$16.95,12-28-03
94,True Believer,Jack Carr,$23.90,07-30-19
95,I Will Teach You to Be Rich,Ramit Sethi,$30.40,05-14-19
96,The Laws of Human Nature,Robert Greene,$22.44,10-23-18
97,Reminders of Him,Colleen Hoover,$26.17,01-18-22
98,A Court of Frost and Starlight,Sarah J. Maas,$18.26,05-01-18
99,The Hobbit,J. R. R. Tolkien,$24.35,09-21-20
